a,b,product
46,39,1794
38,4,152
3,48,144
26,8,208
9,30,270
10,48,480
15,25,375
50,10,500
41,26,1066
25,37,925
12,15,180
22,4,88
14,17,238
8,25,200
7,46,322
47,37,1739
43,9,387
13,28,364
9,43,387
17,48,816
20,0,0
40,7,280
33,19,627
33,6,198
49,40,1960
38,30,1140
14,42,588
28,19,532
7,34,238
47,39,1833
29,9,261
4,48,192
46,21,966
17,2,34
24,16,384
7,40,280
29,27,783
37,10,370
45,44,1980
50,31,1550
48,18,864
14,33,462
6,5,30
46,38,1748
38,23,874
15,42,630
31,44,1364
27,26,702
3,40,120
6,49,294
17,46,782
46,17,782
16,40,640
32,21,672
26,42,1092
16,22,352
5,0,0
6,45,270
31,15,465
37,31,1147
14,37,518
27,42,1134
17,6,102
49,45,2205
31,35,1085
38,36,1368
24,38,912
33,42,1386
24,2,48
38,6,228
37,50,1850
41,6,246
36,6,216
7,48,336
15,23,345
37,43,1591
45,38,1710
26,25,650
45,47,2115
2,22,44
41,50,2050
28,29,812
36,33,1188
2,25,50
40,47,1880
49,27,1323
42,1,42
13,36,468
11,1,11
40,21,840
6,18,108
26,1,26
46,29,1334
16,22,352
43,22,946
22,15,330
17,28,476
50,3,150
20,29,580
44,40,1760
16,49,784
50,10,500
13,35,455
49,35,1715
41,20,820
47,25,1175
48,22,1056
49,11,539
31,5,155
21,22,462
39,34,1326
47,14,658
20,19,380
6,46,276
5,40,200
25,20,500
39,31,1209
40,11,440
48,24,1152
12,16,192
45,31,1395
22,21,462
28,23,644
48,10,480
10,20,200
1,7,7
12,37,444
19,32,608
44,41,1804
35,18,630
48,35,1680
34,11,374
25,39,975
44,4,176
12,5,60
5,45,225
38,42,1596
25,16,400
9,45,405
21,34,714
22,25,550
8,24,192
6,47,282
18,39,702
36,5,180
20,14,280
28,2,56
15,35,525
9,42,378
17,1,17
31,14,434
44,14,616
15,14,210
28,41,1148
13,9,117
0,18,0
15,1,15
39,30,1170
28,26,728
35,35,1225
36,12,432
26,11,286
33,37,1221
25,40,1000
36,24,864
47,16,752
45,50,2250
23,16,368
27,23,621
23,15,345
20,34,680
22,4,88
44,8,352
20,44,880
15,50,750
34,37,1258
8,6,48
50,32,1600
45,30,1350
34,20,680
6,38,228
14,46,644
22,45,990
44,41,1804
35,14,490
29,17,493
36,3,108
29,39,1131
28,31,868
37,27,999
4,10,40
1,35,35
28,35,980
41,3,123
22,30,660
45,9,405
4,43,172
22,4,88
46,17,782
36,16,576
46,1,46
45,38,1710
31,27,837
45,48,2160
8,25,200
13,42,546
28,19,532
34,44,1496
43,19,817
21,14,294
36,32,1152
26,9,234
49,34,1666
43,37,1591
20,0,0
39,3,117
45,48,2160
22,37,814
7,49,343
4,39,156
4,33,132
26,46,1196
10,46,460
12,15,180
38,49,1862
48,11,528
11,1,11
41,31,1271
46,7,322
21,5,105
6,25,150
36,44,1584
43,24,1032
26,24,624
44,30,1320
8,21,168
11,6,66
19,22,418
11,45,495
27,16,432
31,5,155
11,16,176
25,12,300
14,22,308
41,40,1640
5,21,105
28,48,1344
6,33,198
16,1,16
38,3,114
35,3,105
43,23,989
6,10,60
0,33,0
0,0,0
20,24,480
19,1,19
36,36,1296
23,4,92
11,12,132
40,39,1560
31,11,341
34,13,442
22,6,132
43,9,387
38,23,874
36,11,396
28,45,1260
49,11,539
32,9,288
28,1,28
39,2,78
34,50,1700
7,19,133
18,6,108
22,43,946
11,37,407
33,10,330
6,31,186
12,38,456
9,39,351
21,29,609
42,35,1470
24,50,1200
28,7,196
42,35,1470
4,21,84
15,23,345
9,15,135
31,12,372
50,25,1250
2,22,44
3,30,90
42,45,1890
48,37,1776
6,33,198
5,42,210
41,20,820
33,36,1188
36,44,1584
34,33,1122
25,48,1200
34,41,1394
12,18,216
20,8,160
28,48,1344
12,18,216
40,27,1080
25,27,675
24,5,120
31,1,31
31,6,186
20,35,700
30,39,1170
24,19,456
31,50,1550
49,18,882
49,43,2107
44,3,132
33,2,66
12,5,60
19,37,703
47,36,1692
34,11,374
41,20,820
47,3,141
34,1,34
3,19,57
24,12,288
22,34,748
3,43,129
27,47,1269
32,33,1056
11,32,352
23,43,989
44,2,88
13,6,78
29,11,319
14,45,630
20,4,80
45,13,585
31,13,403
36,40,1440
39,0,0
2,24,48
13,44,572
7,18,126
0,15,0
42,21,882
11,24,264
14,23,322
25,2,50
9,9,81
38,15,570
39,42,1638
16,27,432
43,36,1548
45,40,1800
19,13,247
41,47,1927
17,26,442
44,0,0
26,26,676
24,17,408
12,49,588
31,16,496
38,0,0
40,44,1760
25,2,50
44,49,2156
28,8,224
42,44,1848
14,4,56
40,7,280
7,10,70
50,31,1550
4,11,44
34,20,680
10,47,470
16,43,688
45,44,1980
25,18,450
34,18,612
18,36,648
16,6,96
48,7,336
25,12,300
5,35,175
31,12,372
8,33,264
2,30,60
30,6,180
7,14,98
2,24,48
11,5,55
48,44,2112
4,15,60
27,39,1053
23,28,644
47,9,423
28,38,1064
49,2,98
42,32,1344
49,12,588
49,13,637
46,20,920
2,36,72
0,9,0
21,16,336
11,22,242
29,12,348
41,3,123
25,24,600
9,18,162
32,4,128
14,11,154
40,12,480
21,42,882
46,28,1288
1,28,28
4,15,60
38,33,1254
18,35,630
10,9,90
35,20,700
3,7,21
43,4,172
26,33,858
34,1,34
39,46,1794
10,46,460
20,23,460
2,9,18
6,43,258
14,0,0
24,0,0
36,3,108
24,49,1176
36,7,252
14,48,672
40,2,80
36,34,1224
4,1,4
41,30,1230
36,41,1476
24,18,432
43,39,1677
24,28,672
47,15,705
43,31,1333
39,16,624
22,40,880
29,30,870
9,29,261
34,23,782
14,9,126
18,40,720
46,11,506
24,16,384
10,23,230
47,1,47
27,19,513
9,2,18
29,26,754
45,34,1530
14,25,350
8,40,320
22,13,286
25,26,650
26,29,754
46,28,1288
28,24,672
29,23,667
21,20,420
42,25,1050
8,46,368
33,13,429
15,13,195
45,12,540
36,12,432
46,42,1932
50,39,1950
23,29,667
35,48,1680
50,26,1300
23,41,943
19,13,247
25,9,225
30,6,180
34,41,1394
28,19,532
49,39,1911
26,3,78
12,13,156
21,35,735
10,42,420
24,33,792
27,11,297
28,1,28
44,13,572
24,36,864
42,11,462
17,47,799
43,36,1548
49,9,441
41,25,1025
36,50,1800
12,9,108
26,20,520
29,15,435
47,8,376
48,31,1488
20,39,780
48,39,1872
33,47,1551
40,2,80
43,6,258
50,4,200
