a,b,sum
1,189,190
139,129,268
84,165,249
180,75,255
121,74,195
193,146,339
170,37,207
144,186,330
113,86,199
176,28,204
187,122,309
10,35,45
173,141,314
29,78,107
6,102,108
158,56,214
114,91,205
23,83,106
14,155,169
164,49,213
149,134,283
56,200,256
196,71,267
50,5,55
21,137,158
114,173,287
171,22,193
131,100,231
49,125,174
81,154,235
154,130,284
14,170,184
92,101,193
37,183,220
109,94,203
98,95,193
3,72,75
88,89,177
78,114,192
143,22,165
55,186,241
113,189,302
106,113,219
73,41,114
186,108,294
186,106,292
35,150,185
153,22,175
36,53,89
77,121,198
134,85,219
16,151,167
193,96,289
22,1,23
104,163,267
69,106,175
44,142,186
118,181,299
145,193,338
35,51,86
47,97,144
74,141,215
125,10,135
77,149,226
77,126,203
143,189,332
118,57,175
6,0,6
39,67,106
76,163,239
162,120,282
31,167,198
170,73,243
106,45,151
125,176,301
165,62,227
7,30,37
195,70,265
126,17,143
153,190,343
92,148,240
123,144,267
111,66,177
160,175,335
121,177,298
30,95,125
131,187,318
147,4,151
66,41,107
148,14,162
37,81,118
118,177,295
34,91,125
41,13,54
69,92,161
107,162,269
91,12,103
74,74,148
135,163,298
19,131,150
49,196,245
160,46,206
195,24,219
153,192,345
42,139,181
82,80,162
175,77,252
69,175,244
178,176,354
92,24,116
136,148,284
90,36,126
3,35,38
132,72,204
95,199,294
124,105,229
87,41,128
26,55,81
39,128,167
56,48,104
143,157,300
176,134,310
136,182,318
141,179,320
193,29,222
106,117,223
19,29,48
33,4,37
122,89,211
79,176,255
92,35,127
113,152,265
133,195,328
87,44,131
181,77,258
7,190,197
30,56,86
32,177,209
36,176,212
58,78,136
32,53,85
33,20,53
108,176,284
195,200,395
28,19,47
4,198,202
123,193,316
110,10,120
50,27,77
8,168,176
131,151,282
15,120,135
30,64,94
11,16,27
77,170,247
2,193,195
24,200,224
31,154,185
52,150,202
51,47,98
171,89,260
7,23,30
37,191,228
71,148,219
89,90,179
41,128,169
199,186,385
156,61,217
129,145,274
17,25,42
148,195,343
3,135,138
55,183,238
49,72,121
43,193,236
137,1,138
185,25,210
54,129,183
181,121,302
93,178,271
150,47,197
112,172,284
27,46,73
90,97,187
108,54,162
131,58,189
104,28,132
194,80,274
31,119,150
28,133,161
34,126,160
195,92,287
180,73,253
142,184,326
10,21,31
83,126,209
29,98,127
72,116,188
153,188,341
79,175,254
113,57,170
141,104,245
74,109,183
48,17,65
121,173,294
94,45,139
3,172,175
125,172,297
26,101,127
112,133,245
168,173,341
21,30,51
36,101,137
102,177,279
151,26,177
189,43,232
16,93,109
50,86,136
51,152,203
103,31,134
59,108,167
185,127,312
71,195,266
182,196,378
148,151,299
69,193,262
164,102,266
91,121,212
170,154,324
103,124,227
130,71,201
37,196,233
116,27,143
31,64,95
125,127,252
59,160,219
34,7,41
25,188,213
13,17,30
127,173,300
6,45,51
97,154,251
173,83,256
39,77,116
159,159,318
24,194,218
19,169,188
192,133,325
196,126,322
119,51,170
75,169,244
127,125,252
129,66,195
138,87,225
138,139,277
4,195,199
8,110,118
30,98,128
115,80,195
96,113,209
117,9,126
8,45,53
142,168,310
199,77,276
180,42,222
125,110,235
34,79,113
183,99,282
124,195,319
28,145,173
172,125,297
168,141,309
175,138,313
146,120,266
121,143,264
40,129,169
14,100,114
67,126,193
151,96,247
157,173,330
90,196,286
72,82,154
15,7,22
151,11,162
32,93,125
89,189,278
149,6,155
195,160,355
87,97,184
24,109,133
88,91,179
105,89,194
14,169,183
62,63,125
60,165,225
79,151,230
21,176,197
16,78,94
29,86,115
43,5,48
137,83,220
9,117,126
168,108,276
145,131,276
107,68,175
5,178,183
120,150,270
5,81,86
96,146,242
99,82,181
146,25,171
125,25,150
176,172,348
52,86,138
127,128,255
195,170,365
86,42,128
157,76,233
93,111,204
51,127,178
162,19,181
137,54,191
73,67,140
12,76,88
146,102,248
57,159,216
190,23,213
183,148,331
24,151,175
86,69,155
17,145,162
135,121,256
109,53,162
88,19,107
166,77,243
129,76,205
110,169,279
